iter	RMSE
0	2375.19647
1	2209.137621
2	2063.751402
3	1924.490737
4	1828.16145
5	1725.067319
6	1623.230153
7	1533.911652
8	1459.726914
9	1390.37392
10	1321.991423
11	1263.340016
12	1207.370859
13	1160.158045
14	1119.369205
15	1082.549807
16	1045.656153
17	1013.768429
18	982.5677213
19	950.2887978
20	923.2084895
21	900.251358
22	876.3965674
23	857.8628296
24	837.5177067
25	818.4475336
26	804.4341917
27	787.3117665
28	774.1007205
29	758.6156789
30	748.280674
31	735.884183
32	726.1679638
33	714.8403256
34	703.6701743
35	693.4199512
36	684.2581199
37	674.4786761
38	666.1257921
39	658.7310582
40	652.5151451
41	647.4131906
42	639.2416969
43	632.17875
44	625.9753344
45	620.6667493
46	615.0057579
47	611.1446157
48	607.6947464
49	602.1995103
50	598.9655833
51	595.827891
52	592.3455571
53	587.6107518
54	583.1092907
55	578.9495523
56	575.2479984
57	572.39472
58	569.5877052
59	566.3587749
60	563.898111
61	560.886363
62	558.0207719
63	554.3897151
64	551.1570827
65	548.8112769
66	546.0074403
67	543.6328046
68	542.2410926
69	539.9074338
70	537.5830854
71	535.754196
72	533.0940849
73	530.8781504
74	528.6046232
75	526.7721302
76	524.9580226
77	523.7933011
78	521.7884481
79	520.3811805
80	518.8184111
81	517.5211485
82	516.3015368
83	514.9794498
84	513.1209656
85	511.4248626
86	510.1761112
87	508.3933242
88	507.2767529
89	506.20443
90	504.5097686
91	503.2498479
92	500.3543959
93	498.6610559
94	497.7383687
95	496.5767184
96	495.1300296
97	493.8583319
98	492.9446172
99	490.9706925
100	489.7936034
101	488.8194491
102	487.9874681
103	486.8410273
104	485.0389249
105	484.2843704
106	482.2356367
107	481.6043285
108	480.3817033
109	479.8442082
110	478.9644572
111	478.0347687
112	477.4234302
113	476.0019134
114	474.799055
115	473.8702895
116	472.8636426
117	471.6520136
118	470.7521164
119	469.5569144
120	468.5623293
121	467.4853797
122	466.6305856
123	465.5096564
124	464.437415
125	463.2756334
126	462.3041207
127	461.5708302
128	460.7085934
129	459.7586516
130	458.4443736
131	457.7252983
132	457.0626049
133	456.2237003
134	455.6572715
135	454.7414197
136	454.1276752
137	453.0452647
138	452.315849
139	451.475155
140	450.7309961
141	449.7717285
142	448.8078895
143	448.0860433
144	447.2742056
145	446.8847448
146	446.1605325
147	445.2976461
148	444.4125386
149	443.756324
150	443.3651887
151	442.5324993
152	441.8101515
153	441.2506523
154	440.674027
155	439.9858812
156	438.7306414
157	438.3362733
158	437.8896247
159	437.4050664
160	436.835792
161	436.3579837
162	435.5524801
163	434.983149
164	434.4540427
165	433.7838832
166	433.2794079
167	432.7456608
168	432.0075868
169	431.4650322
170	430.8038386
171	430.1153537
172	429.273487
173	429.0095256
174	428.7836911
175	428.1836206
176	427.5962587
177	426.9983235
178	426.4610227
179	426.0687366
180	425.9181316
181	425.5197097
182	425.2065978
183	424.8309027
184	424.1212588
185	423.5392766
186	423.221208
187	422.8115173
188	422.2907474
189	421.7703392
190	421.1861772
191	420.5888725
192	420.1370161
193	419.6610189
194	419.4788281
195	419.1030657
196	418.452573
197	417.888244
198	417.2151625
199	416.6430978
