iter	Passed	Remaining
0	1	247
1	2	235
2	3	229
3	4	222
4	5	221
5	6	220
6	7	217
7	8	213
8	9	210
9	10	208
10	11	205
11	13	206
12	14	203
13	15	202
14	16	202
15	17	201
16	18	199
17	19	197
18	20	197
19	22	199
20	23	197
21	24	196
22	25	195
23	26	193
24	27	192
25	28	190
26	29	189
27	30	187
28	31	186
29	32	185
30	33	184
31	34	182
32	35	181
33	37	181
34	38	180
35	39	178
36	40	177
37	41	176
38	42	175
39	43	174
40	44	173
41	45	171
42	46	170
43	47	169
44	48	167
45	49	166
46	51	166
47	52	166
48	53	166
49	54	164
50	55	163
51	56	162
52	58	160
53	59	159
54	60	158
55	61	157
56	62	156
57	63	155
58	64	154
59	65	153
60	66	152
61	68	151
62	69	150
63	70	149
64	71	148
65	72	146
66	73	145
67	74	144
68	75	143
69	76	142
70	77	141
71	78	140
72	80	139
73	82	139
74	83	138
75	84	137
76	85	136
77	86	135
78	88	135
79	89	134
80	90	132
81	91	131
82	92	130
83	93	128
84	94	127
85	95	126
86	96	125
87	97	124
88	98	122
89	99	121
90	100	120
91	101	119
92	102	118
93	103	116
94	104	115
95	106	114
96	107	113
97	108	112
98	109	111
99	110	110
100	113	110
101	114	109
102	115	108
103	116	107
104	117	105
105	118	104
106	119	103
107	120	102
108	121	101
109	122	100
110	123	99
111	124	98
112	126	97
113	127	96
114	128	95
115	129	93
116	130	92
117	131	91
118	133	90
119	134	89
120	135	88
121	136	87
122	137	85
123	138	84
124	139	83
125	140	82
126	141	81
127	143	80
128	144	79
129	145	78
130	146	76
131	147	75
132	148	74
133	149	73
134	150	72
135	151	71
136	152	70
137	153	68
138	154	67
139	155	66
140	156	65
141	157	64
142	158	63
143	159	62
144	161	61
145	162	59
146	163	58
147	164	57
148	165	56
149	166	55
150	167	54
151	168	53
152	169	52
153	170	50
154	171	49
155	172	48
156	173	47
157	174	46
158	175	45
159	176	44
160	178	43
161	179	42
162	180	40
163	181	39
164	182	38
165	183	37
166	184	36
167	185	35
168	186	34
169	188	33
170	189	32
171	190	30
172	191	29
173	192	28
174	192	27
175	194	26
176	195	25
177	196	24
178	197	23
179	198	22
180	199	20
181	200	19
182	203	18
183	205	17
184	206	16
185	207	15
186	208	14
187	209	13
188	210	12
189	211	11
190	212	10
191	213	8
192	214	7
193	215	6
194	217	5
195	218	4
196	219	3
197	220	2
198	221	1
199	222	0
